genus;short;species;autorite;country;tdwg_level;latitude;longitude
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Slovakia;4.0;48.71130651;19.50871249
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Syria;4.0;35.01306426;38.50585009
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Ukraine;4.0;49.17189131;31.26554566
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Yugoslavia;3.0;;
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Afghanistan;4.0;33.83890296;66.02653864
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Azerbaijan;4.0;40.38015597;47.71281698
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Bulgaria;4.0;42.76135302;25.2313767
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Czech Republic;4.0;49.74303445;15.33833451
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Greece;4.0;39.36723826;22.67457493
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Hungary;4.0;47.1665173;19.41351505
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Romania;4.0;45.84359796;24.96918232
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Russia;4.0;;
Pentastira;rorida;Pentastira rorida;(Fieber, 1876);Turkey;4.0;38.98893748;35.43587039
Pentastira;shul;Pentastira shul;(Dlabola, 1985);Iran;4.0;32.56479713;54.30142285
Pentastira;superans;Pentastira superans;Logvinenko, 1976;Azerbaijan;4.0;40.38015597;47.71281698
Pentastira;superspicata;Pentastira superspicata;Dlabola, 1985;Iran;4.0;32.56479713;54.30142285
Pentastira;torossica;Pentastira torossica;(Dlabola, 1957);Turkey;4.0;38.98893748;35.43587039
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Japan (Hokkaido);4.0;43.37758979;142.565164
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Japan (Honshu);4.0;36.63295744;137.9515335
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Japan (Shikoku);4.0;33.6556519;133.4672626
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Russia (Khabarovsk);4.0;54.58518626;137.129087
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Russia (Primorye);4.0;45.16706365;134.7137746
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Beijing);4.0;40.17519956;116.405373
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China Southeast (Shanghai);4.0;31.17169808;121.4132633
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Fujian);4.0;26.0753818;117.9675578
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Jiangxi);4.0;27.61682537;115.7152356
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China Southeast (Jiangsu);4.0;32.97741605;119.4393083
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Shaanxi);4.0;35.15820129;108.8611469
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Sichuan);4.0;30.5883367;102.739738
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);China (Zhejiang);4.0;29.16724629;120.060059
Pentastiridius;apicalis;Pentastiridius apicalis;(Uhler, 1896);Japan (Kyushu);4.0;32.47955749;130.7202546
Pentastiridius;badiensis;Pentastiridius badiensis;Van Stalle, 1986;Senegal;4.0;14.36697739;-14.46817708
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);Poland;4.0;52.12472508;19.4009187
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);Ukraine;4.0;49.17189131;31.26554566
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);Switzerland;4.0;46.80257618;8.23458717
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);Austria;4.0;47.59295853;14.13999212
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);Italy;4.0;43.52546164;12.15502009
Pentastiridius;beieri;Pentastiridius beieri;(Wagner, 1970);France;4.0;46.63137208;2.45150425
Pentastiridius;bifurcatus;Pentastiridius bifurcatus;Van Stalle, 1986;South Africa;4.0;;
Pentastiridius;bohemani;Pentastiridius bohemani;(St̴l, 1859);China (Hainan);4.0;19.20103623;109.7420098
Pentastiridius;bohemani;Pentastiridius bohemani;(St̴l, 1859);China (Hong Kong);4.0;22.37770246;114.1129083
Pentastiridius;bohemani;Pentastiridius bohemani;(St̴l, 1859);China;2.0;;
Pentastiridius;breviceps;Pentastiridius breviceps;(Kusnezov, 1937);;;;
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (Delaware);4.0;38.99814067;-75.51281006
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);Canada (New Brunswick);4.0;46.63101173;-66.37001739
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);Canada (Ontario);4.0;50.07309622;-85.83256685
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);Canada (British Columbia);4.0;54.75407132;-124.7569631
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);Canada (Quebec);4.0;53.38114914;-71.75499676
